country,name,url,n,n_nan,n_zero,c_profile,c_actual,ratio,status
AE,Careem BIKE,https://careem.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,225,0,6,14.968036529680365,14.568888888888889,1.0273972602739725,ok
AE,Dott Abu Dhabi,https://gbfs.api.ridedott.com/public/v2/abu-dhabi/gbfs.json,1433,1433,0,,,nan,ok
AE,Dott Dubai,https://gbfs.api.ridedott.com/public/v2/dubai/gbfs.json,342,342,0,,,nan,ok
AE,Dott Dubai Hills,https://gbfs.api.ridedott.com/public/v2/dubai-hills/gbfs.json,,,,,,,too_small_n=7
AE,Dott Ras Al Khaimah,https://gbfs.api.ridedott.com/public/v2/ras-al-khaimah/gbfs.json,31,31,0,,,nan,ok
AE,Dott Sharjah,https://gbfs.api.ridedott.com/public/v2/sharjah/gbfs.json,38,38,0,,,nan,ok
AE,Yaldi,https://yaldi.rideatom.com/gbfs/511/v3.0/gbfs,,,,,,,too_small_n=0
AR,Bike Nordelta,https://nordelta.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,21,0,0,14.428571428571429,14.428571428571429,1.0,ok
AR,Ecobici,https://buenosaires.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,392,0,0,18.581632653061224,18.581632653061224,1.0,ok
AR,MiBiciTuBici,https://www.mibicitubici.gob.ar/opendata/gbfs.json,99,0,2,20.52577319587629,20.11111111111111,1.020618556701031,ok
AT,Bird Wiener Neustadt,https://mds.bird.co/gbfs/v2/public/wienerneustadt/gbfs.json,,,,,,,too_small_n=0
AT,city bike Linz,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_al/gbfs.json,50,1,0,9.306122448979592,9.12,1.0204081632653061,ok
AT,Dott Baden bei Wien,https://gbfs.api.ridedott.com/public/v2/baden-bei-wien/gbfs.json,47,47,0,,,nan,ok
AT,Dott Bregenz,https://gbfs.api.ridedott.com/public/v2/bregenz/gbfs.json,98,98,0,,,nan,ok
AT,Dott Dornbirn,https://gbfs.api.ridedott.com/public/v2/dornbirn/gbfs.json,,,,,,,too_small_n=3
AT,Dott Feldkirchen bei Graz,https://gbfs.api.ridedott.com/public/v2/feldkirchen-bei-graz/gbfs.json,25,25,0,,,nan,ok
AT,Dott Innsbruck,https://gbfs.api.ridedott.com/public/v2/innsbruck/gbfs.json,56,56,0,,,nan,ok
AT,Dott Klagenfurt,https://gbfs.api.ridedott.com/public/v2/klagenfurt/gbfs.json,46,46,0,,,nan,ok
AT,Dott Klopein,https://gbfs.api.ridedott.com/public/v2/klopein/gbfs.json,,,,,,,err:HTTPError
AT,Dott Korneuburg,https://gbfs.api.ridedott.com/public/v2/korneuburg/gbfs.json,43,43,0,,,nan,ok
AT,Dott Leoben,https://gbfs.api.ridedott.com/public/v2/leoben/gbfs.json,46,46,0,,,nan,ok
AT,Dott Linz,https://gbfs.api.ridedott.com/public/v2/linz/gbfs.json,156,156,0,,,nan,ok
AT,Dott Mödling,https://gbfs.api.ridedott.com/public/v2/modling/gbfs.json,68,68,0,,,nan,ok
