name,country,status,n_stations,station_type,n_capacity_nan,n_capacity_zero,capacity_median,capacity_unique_values,A1_n_stations,A1_share_pct,A3_n_stations,A3_share_pct,A4_n_stations,A4_share_pct,A2_flagged,A5_flagged,A6_flagged,A7_flagged,url,elapsed_s
Careem BIKE,AE,ok,225.0,docked_bike,0.0,6.0,15.0,30.0,0.0,0.0,0.0,0.0,24.0,10.67,False,True,True,False,https://careem.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,0.7
Dott Abu Dhabi,AE,ok,1433.0,free_floating,1433.0,0.0,,0.0,0.0,0.0,1433.0,100.0,0.0,0.0,False,False,False,True,https://gbfs.api.ridedott.com/public/v2/abu-dhabi/gbfs.json,0.4
Dott Dubai,AE,ok,342.0,free_floating,342.0,0.0,,0.0,0.0,0.0,342.0,100.0,7.0,2.05,False,False,False,True,https://gbfs.api.ridedott.com/public/v2/dubai/gbfs.json,0.3
Dott Dubai Hills,AE,too_small_below_Nmin,7.0,,,,,,,,,,,,,,,,https://gbfs.api.ridedott.com/public/v2/dubai-hills/gbfs.json,0.2
Dott Ras Al Khaimah,AE,ok,31.0,free_floating,31.0,0.0,,0.0,0.0,0.0,31.0,100.0,3.0,9.68,False,False,False,True,https://gbfs.api.ridedott.com/public/v2/ras-al-khaimah/gbfs.json,0.2
Dott Sharjah,AE,ok,38.0,free_floating,38.0,0.0,,0.0,0.0,0.0,38.0,100.0,0.0,0.0,False,False,False,True,https://gbfs.api.ridedott.com/public/v2/sharjah/gbfs.json,0.2
Yaldi,AE,too_small_below_Nmin,0.0,,,,,,,,,,,,,,,,https://yaldi.rideatom.com/gbfs/511/v3.0/gbfs,0.3
Bike Nordelta,AR,ok,21.0,docked_bike,0.0,0.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,https://nordelta.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,1.5
Ecobici,AR,ok,392.0,docked_bike,0.0,0.0,20.0,13.0,0.0,0.0,0.0,0.0,6.0,1.53,False,False,False,False,https://buenosaires.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,2.2
MiBiciTuBici,AR,ok,99.0,docked_bike,0.0,2.0,20.0,10.0,0.0,0.0,0.0,0.0,3.0,3.03,False,False,True,False,https://www.mibicitubici.gob.ar/opendata/gbfs.json,0.8
Bird Wiener Neustadt,AT,too_small_below_Nmin,0.0,,,,,,,,,,,,,,,,https://mds.bird.co/gbfs/v2/public/wienerneustadt/gbfs.json,0.7
city bike Linz,AT,ok,50.0,docked_bike,1.0,0.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_al/gbfs.json,0.5
Dott Baden bei Wien,AT,ok,47.0,free_floating,47.0,0.0,,0.0,0.0,0.0,47.0,100.0,1.0,2.13,False,False,False,True,https://gbfs.api.ridedott.com/public/v2/baden-bei-wien/gbfs.json,0.2
Dott Bregenz,AT,ok,98.0,free_floating,98.0,0.0,,0.0,0.0,0.0,98.0,100.0,1.0,1.02,False,False,False,True,https://gbfs.api.ridedott.com/public/v2/bregenz/gbfs.json,0.2
Dott Dornbirn,AT,too_small_below_Nmin,3.0,,,,,,,,,,,,,,,,https://gbfs.api.ridedott.com/public/v2/dornbirn/gbfs.json,0.2
Dott Feldkirchen bei Graz,AT,ok,25.0,free_floating,25.0,0.0,,0.0,0.0,0.0,25.0,100.0,0.0,0.0,False,False,False,True,https://gbfs.api.ridedott.com/public/v2/feldkirchen-bei-graz/gbfs.json,0.2
Dott Innsbruck,AT,ok,56.0,free_floating,56.0,0.0,,0.0,0.0,0.0,56.0,100.0,1.0,1.79,False,False,False,True,https://gbfs.api.ridedott.com/public/v2/innsbruck/gbfs.json,0.2
Dott Klagenfurt,AT,ok,46.0,free_floating,46.0,0.0,,0.0,0.0,0.0,46.0,100.0,2.0,4.35,False,False,False,True,https://gbfs.api.ridedott.com/public/v2/klagenfurt/gbfs.json,0.2
Dott Klopein,AT,fetch_error: HTTPError,,,,,,,,,,,,,,,,,https://gbfs.api.ridedott.com/public/v2/klopein/gbfs.json,0.1
Dott Korneuburg,AT,ok,43.0,free_floating,43.0,0.0,,0.0,0.0,0.0,43.0,100.0,0.0,0.0,False,False,False,True,https://gbfs.api.ridedott.com/public/v2/korneuburg/gbfs.json,0.2
Dott Leoben,AT,ok,46.0,free_floating,46.0,0.0,,0.0,0.0,0.0,46.0,100.0,1.0,2.17,False,False,False,True,https://gbfs.api.ridedott.com/public/v2/leoben/gbfs.json,0.2
Dott Linz,AT,ok,156.0,free_floating,156.0,0.0,,0.0,0.0,0.0,156.0,100.0,0.0,0.0,False,False,False,True,https://gbfs.api.ridedott.com/public/v2/linz/gbfs.json,0.2
Dott Mödling,AT,ok,68.0,free_floating,68.0,0.0,,0.0,0.0,0.0,68.0,100.0,2.0,2.94,False,False,False,True,https://gbfs.api.ridedott.com/public/v2/modling/gbfs.json,0.2
Dott Saint Anton am Arlberg,AT,fetch_error: HTTPError,,,,,,,,,,,,,,,,,https://gbfs.api.ridedott.com/public/v2/sankt-anton-am-arlberg/gbfs.json,0.1
Dott Serfaus,AT,fetch_error: HTTPError,,,,,,,,,,,,,,,,,https://gbfs.api.ridedott.com/public/v2/serfaus/gbfs.json,0.1
Dott Steyr,AT,too_small_below_Nmin,16.0,,,,,,,,,,,,,,,,https://gbfs.api.ridedott.com/public/v2/steyr/gbfs.json,0.2
Dott Velden-Am-Worthersee,AT,fetch_error: HTTPError,,,,,,,,,,,,,,,,,https://gbfs.api.ridedott.com/public/v2/velden-am-worthersee/gbfs.json,0.1
Dott Villach,AT,too_small_below_Nmin,0.0,,,,,,,,,,,,,,,,https://gbfs.api.ridedott.com/public/v2/villach/gbfs.json,0.2
