country,name,auto_discovery_url
AE,Careem BIKE,https://careem.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json
AE,Dott Abu Dhabi,https://gbfs.api.ridedott.com/public/v2/abu-dhabi/gbfs.json
AE,Dott Dubai,https://gbfs.api.ridedott.com/public/v2/dubai/gbfs.json
AE,Dott Dubai Hills,https://gbfs.api.ridedott.com/public/v2/dubai-hills/gbfs.json
AE,Dott Ras Al Khaimah,https://gbfs.api.ridedott.com/public/v2/ras-al-khaimah/gbfs.json
AE,Dott Sharjah,https://gbfs.api.ridedott.com/public/v2/sharjah/gbfs.json
AE,Yaldi,https://yaldi.rideatom.com/gbfs/511/v3.0/gbfs
AR,Bike Nordelta,https://nordelta.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json
AR,Ecobici,https://buenosaires.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json
AR,MiBiciTuBici,https://www.mibicitubici.gob.ar/opendata/gbfs.json
AT,Bird Wiener Neustadt,https://mds.bird.co/gbfs/v2/public/wienerneustadt/gbfs.json
AT,city bike Linz,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_al/gbfs.json
AT,Dott Baden bei Wien,https://gbfs.api.ridedott.com/public/v2/baden-bei-wien/gbfs.json
AT,Dott Bregenz,https://gbfs.api.ridedott.com/public/v2/bregenz/gbfs.json
AT,Dott Dornbirn,https://gbfs.api.ridedott.com/public/v2/dornbirn/gbfs.json
AT,Dott Feldkirchen bei Graz,https://gbfs.api.ridedott.com/public/v2/feldkirchen-bei-graz/gbfs.json
AT,Dott Innsbruck,https://gbfs.api.ridedott.com/public/v2/innsbruck/gbfs.json
AT,Dott Klagenfurt,https://gbfs.api.ridedott.com/public/v2/klagenfurt/gbfs.json
AT,Dott Klopein,https://gbfs.api.ridedott.com/public/v2/klopein/gbfs.json
AT,Dott Korneuburg,https://gbfs.api.ridedott.com/public/v2/korneuburg/gbfs.json
AT,Dott Leoben,https://gbfs.api.ridedott.com/public/v2/leoben/gbfs.json
AT,Dott Linz,https://gbfs.api.ridedott.com/public/v2/linz/gbfs.json
AT,Dott Mödling,https://gbfs.api.ridedott.com/public/v2/modling/gbfs.json
AT,Dott Saint Anton am Arlberg,https://gbfs.api.ridedott.com/public/v2/sankt-anton-am-arlberg/gbfs.json
AT,Dott Serfaus,https://gbfs.api.ridedott.com/public/v2/serfaus/gbfs.json
AT,Dott Steyr,https://gbfs.api.ridedott.com/public/v2/steyr/gbfs.json
AT,Dott Velden-Am-Worthersee,https://gbfs.api.ridedott.com/public/v2/velden-am-worthersee/gbfs.json
AT,Dott Villach,https://gbfs.api.ridedott.com/public/v2/villach/gbfs.json
AT,Dott Wels,https://gbfs.api.ridedott.com/public/v2/wels/gbfs.json
AT,EVENTbike - Austria,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_eq/gbfs.json
AT,Getaround Graz,https://getaround.com/gbfs/v3/graz/gbfs
AT,Getaround Innsbruck,https://getaround.com/gbfs/v3/innsbruck/gbfs
AT,nextbike Klagenfurt Austria,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_ka/gbfs.json
AT,nextbike Niederösterreich,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_la/gbfs.json
AT,Stadtrad Innsbruck Austria,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_si/gbfs.json
AT,VVT REGIORAD Tirol,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_vt/gbfs.json
AT,WienMobil Rad,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_wr/gbfs.json
BA,BL bike,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_bj/gbfs.json
BA,nextbike BIH,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_ba/gbfs.json
BA,Zenica,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_bz/gbfs.json
BE,Bird Antwerp,https://mds.bird.co/gbfs/v2/public/antwerp/gbfs.json
