variant,corpus,class,systems_flagged,ci95_lo,ci95_hi,n_systems
feed_only,World,A1,0,0.0,0.0,936
feed_only,World,A2,8,0.32,1.5,936
feed_only,World,A3,715,73.61,79.06,936
feed_only,World,A4,515,51.82,58.23,936
feed_only,World,A5,30,2.14,4.38,936
feed_only,World,A6,0,0.0,0.0,936
feed_only,World,A7,288,27.88,33.65,936
feed_only,FR,A1,0,0.0,0.0,145
feed_only,FR,A2,3,0.0,4.83,145
feed_only,FR,A3,73,42.07,58.62,145
feed_only,FR,A4,89,53.79,69.66,145
feed_only,FR,A5,6,1.38,7.59,145
feed_only,FR,A6,0,0.0,0.0,145
feed_only,FR,A7,29,13.79,26.9,145
feed_only,non_FR,A1,0,0.0,0.0,791
feed_only,non_FR,A2,5,0.13,1.26,791
feed_only,non_FR,A3,642,78.38,83.82,791
feed_only,non_FR,A4,426,50.44,57.4,791
feed_only,non_FR,A5,24,1.9,4.3,791
feed_only,non_FR,A6,0,0.0,0.0,791
feed_only,non_FR,A7,259,29.46,36.03,791
operator,World,A1,36,2.67,5.13,936
operator,World,A2,8,0.32,1.5,936
operator,World,A3,699,71.9,77.46,936
operator,World,A4,515,51.82,58.23,936
operator,World,A5,30,2.14,4.38,936
operator,World,A6,0,0.0,0.0,936
operator,World,A7,288,27.88,33.65,936
operator,FR,A1,15,5.52,15.17,145
operator,FR,A2,3,0.0,4.83,145
operator,FR,A3,65,36.55,53.1,145
operator,FR,A4,89,53.79,69.66,145
operator,FR,A5,6,1.38,7.59,145
operator,FR,A6,0,0.0,0.0,145
operator,FR,A7,29,13.79,26.9,145
operator,non_FR,A1,21,1.64,3.79,791
operator,non_FR,A2,5,0.13,1.26,791
operator,non_FR,A3,634,77.37,82.93,791
operator,non_FR,A4,426,50.44,57.4,791
operator,non_FR,A5,24,1.9,4.3,791
operator,non_FR,A6,0,0.0,0.0,791
operator,non_FR,A7,259,29.46,36.03,791
