system_id,country_code,form_factors,status
careem_bike,AE,bicycle|scooter_standing,ok
dott-sharjah,AE,bicycle|scooter,ok
dott-ras-al-khaimah,AE,bicycle|scooter,ok
dott-dubai-hills,AE,bicycle|scooter,ok
dott-bregenz,AT,scooter,ok
dott-abu-dhabi,AE,scooter,ok
dott-dubai,AE,bicycle|scooter,ok
dott-baden-bei-wien,AT,scooter,ok
dott-feldkirchen-bei-graz,AT,scooter,ok
dott-innsbruck,AT,scooter,ok
dott-klagenfurt,AT,scooter,ok
dott-leoben,AT,bicycle|scooter,ok
dott-korneuburg,AT,scooter,ok
dott-linz,AT,scooter,ok
dott-dornbirn,AT,scooter,ok
dott-sankt-anton-am-arlberg,AT,scooter,ok
dott-modling,AT,scooter,ok
dott-steyr,AT,scooter,ok
dott-wels,AT,scooter,ok
nextbike_al,AT,bicycle|cargo_bicycle,ok
nextbike_ka,AT,bicycle|cargo_bicycle,ok
nextbike_eq,AT,bicycle,ok
nextbike_vt,AT,bicycle|cargo_bicycle,ok
nextbike_bz,BA,bicycle,ok
nextbike_si,AT,bicycle|cargo_bicycle,ok
nextbike_ba,BA,bicycle,ok
nextbike_wr,AT,bicycle,ok
nextbike_la,AT,bicycle|cargo_bicycle,ok
nextbike_bj,BA,bicycle,ok
dott-aalst,BE,bicycle|scooter,ok
dott-brussels,BE,bicycle|scooter,ok
dott-kortrijk,BE,bicycle|scooter,ok
bluebike,BE,bicycle,ok
BoltEU_Brussels,BE,bicycle|scooter_standing,ok
biketobike,AR,,error:GBFSDiscoveryError
donkey_gh,BE,bicycle,ok
donkey_antwerp,BE,bicycle,ok
donkey_westhoek,BE,bicycle,ok
bike_buenosaires,AR,bicycle|scooter_standing,ok
bike_nordelta,AR,bicycle|scooter_standing,ok
dott-liege,BE,bicycle|scooter,ok
dott-charleroi,BE,scooter,ok
dott-ghent,BE,bicycle,ok
voi_Antwerp,BE,bicycle|scooter,ok
namur,BE,bicycle,ok
nextbike_hf,BE,bicycle,ok
bruxelles,BE,bicycle,ok
lime_antwerp,BE,bicycle|scooter,ok
lime_brussels,BE,bicycle|scooter,ok
cc_smartbike_antwerp,BE,,error:GBFSDiscoveryError
saguenay_bike,CA,bicycle|scooter_standing,ok
bike_share_toronto,CA,bicycle|scooter_standing,ok
avelo_quebec,CA,bicycle|scooter_standing,ok
curitiba,BR,bicycle|scooter_standing,ok
bike_pe,BR,bicycle|scooter_standing,ok
bike_brasilia,BR,bicycle|scooter_standing,ok
bike_rio,BR,bicycle|scooter_standing,ok
bike_salvador,BR,bicycle|scooter_standing,ok
lime_edmonton,CA,bicycle|scooter,ok
bird-halifax,CA,bicycle|scooter,ok
lime_calgary,CA,bicycle|scooter,ok
rivi_bike,BR,bicycle|scooter_standing,ok
bike_poa,BR,bicycle|scooter_standing,ok
lime_kelowna,CA,bicycle|scooter,ok
bird-vaughan,CA,bicycle|scooter,ok
lime_mississauga,CA,bicycle|scooter,ok
bike_sampa,BR,bicycle|scooter_standing,ok
sobi_hamilton,CA,,error:GBFSDiscoveryError
lime_ottawa,CA,bicycle|scooter,ok
lime_vancouver_bc,CA,bicycle|scooter,ok
zem_ch,CH,car,ok
carvelo2go_ch,CH,bicycle|car|cargo_bicycle,ok
Bixi_MTL,CA,,error:GBFSDiscoveryError
car_ship,CH,car,ok
bolt_basel,CH,scooter_standing,ok
bolt_zurich,CH,scooter_standing,ok
