system_id,n_stations,n_clusters_hdbscan,n_noise_hdbscan,fiedler_value,n_flagged_composite,n_flagged_legacy,composite_rate,legacy_rate
CVelo_FR_Clermont-Ferrand,82,2,0,0.05,0,18,0.0,0.21951219512195122
Optymo_Belfort_ALS,52,4,17,0.05,14,12,0.2692307692307692,0.23076923076923078
Optymo_FR_Belfort,32,0,32,0.05,18,4,0.5625,0.125
Paris,1507,14,189,0.05,43,260,0.028533510285335104,0.17252820172528202
amiens,45,0,45,0.05,44,9,0.9777777777777777,0.2
aupa,8,3,1,0.05,1,7,0.125,0.875
auray-quiberon,11,0,11,0.05,11,0,1.0,0.0
auto-en-velay,9,2,0,0.05,0,0,0.0,0.0
auxrmlevelo,55,2,16,0.05,9,0,0.16363636363636364,0.0
beb,45,0,45,0.05,36,3,0.8,0.06666666666666667
besancon,33,0,33,0.05,32,6,0.9696969696969697,0.18181818181818182
bird-ajaccio,32,3,7,0.05,7,5,0.21875,0.15625
bird-bordeaux,3152,258,700,0.0,0,508,0.0,0.16116751269035534
bird-draguignan,63,2,33,0.05,32,9,0.5079365079365079,0.14285714285714285
bird-gap,50,3,15,0.05,14,2,0.28,0.04
bird-larochesuryon,69,5,13,0.05,12,0,0.17391304347826086,0.0
bird-laval,83,2,20,0.05,19,16,0.2289156626506024,0.1927710843373494
bird-marseille,803,52,238,0.05,16,127,0.019925280199252802,0.1581569115815691
bird-millau,75,3,38,0.05,35,10,0.4666666666666667,0.13333333333333333
bird-montlucon,62,4,22,0.05,22,9,0.3548387096774194,0.14516129032258066
bird-sarreguemines,64,3,14,0.05,14,3,0.21875,0.046875
bird-vichy,46,0,46,0.05,46,9,1.0,0.1956521739130435
calais,9,0,9,0.05,9,2,1.0,0.2222222222222222
calais-velos,80,2,43,0.05,11,12,0.1375,0.15
calivelo,66,5,1,0.05,0,0,0.0,0.0
capcotentin,49,2,0,0.05,0,8,0.0,0.16326530612244897
cergy,45,2,5,0.05,5,1,0.1111111111111111,0.022222222222222223
chantrerie,16,2,0,0.05,0,16,0.0,1.0
choletbus,16,0,16,0.05,16,2,1.0,0.125
citiz_alpes_loire,408,27,127,0.05,4,95,0.00980392156862745,0.23284313725490197
citiz_angers,26,0,26,0.05,18,4,0.6923076923076923,0.15384615384615385
citiz_bfc,56,2,1,0.05,0,0,0.0,0.0
citiz_developpement,55,4,3,0.05,0,30,0.0,0.5454545454545454
citiz_gironde,98,2,19,0.05,3,14,0.030612244897959183,0.14285714285714285
citiz_grand_est,272,8,5,0.05,0,103,0.0,0.3786764705882353
citiz_grand_poitiers,22,0,22,0.05,11,4,0.5,0.18181818181818182
citiz_la_rochelle,24,0,24,0.05,21,4,0.875,0.16666666666666666
citiz_lille_arras,77,2,2,0.05,2,15,0.025974025974025976,0.19480519480519481
citiz_metropole_lyon,201,2,2,0.05,0,29,0.0,0.14427860696517414
citiz_nantes,41,3,10,0.05,8,1,0.1951219512195122,0.024390243902439025
citiz_occitanie,128,5,41,0.05,7,24,0.0546875,0.1875
citiz_provence,98,2,0,0.05,0,17,0.0,0.17346938775510204
citiz_rennes_metropole,55,0,55,0.05,52,5,0.9454545454545454,0.09090909090909091
cyclam,34,2,0,0.05,0,10,0.0,0.29411764705882354
cyclolibre,10,0,10,0.05,10,0,1.0,0.0
cyclovis,28,0,28,0.05,16,4,0.5714285714285714,0.14285714285714285
dijon,40,0,40,0.05,37,3,0.925,0.075
donkey_brest,75,3,26,0.05,25,10,0.3333333333333333,0.13333333333333333
donkey_valenciennes,40,2,0,0.05,0,5,0.0,0.125
dott-bordeaux,3449,300,702,0.0,0,513,0.0,0.14873876485937954
dott-bourgoin-jallieu,69,3,5,0.05,5,12,0.07246376811594203,0.17391304347826086
dott-gpseo,351,5,0,0.05,0,110,0.0,0.31339031339031337
